[2024-06-25 16:46:54,737 : INFO : main : welcome to our custom log]
[2024-07-01 12:54:33,474 : INFO : common : yaml file : config/config.yaml loaded successfully]
[2024-07-01 12:54:33,485 : INFO : common : yaml file : params.yaml loaded successfully]
[2024-07-01 12:54:33,488 : INFO : common : created directory at: artifacts]
[2024-07-01 12:54:33,490 : INFO : common : created directory at: artifacts/data_ingestion]
[2024-07-01 13:07:26,923 : INFO : common : yaml file : config/config.yaml loaded successfully]
[2024-07-01 13:07:26,925 : INFO : common : yaml file : params.yaml loaded successfully]
[2024-07-01 13:07:26,926 : INFO : common : created directory at: artifacts]
[2024-07-01 13:07:26,927 : INFO : common : created directory at: artifacts/data_ingestion]
[2024-07-01 13:07:38,958 : INFO : common : yaml file : config/config.yaml loaded successfully]
[2024-07-01 13:07:38,960 : INFO : common : yaml file : params.yaml loaded successfully]
[2024-07-01 13:07:38,960 : INFO : common : created directory at: artifacts]
[2024-07-01 13:07:38,961 : INFO : common : created directory at: artifacts/data_ingestion]
[2024-07-01 13:18:15,620 : INFO : common : yaml file : config/config.yaml loaded successfully]
[2024-07-01 13:18:15,629 : INFO : common : yaml file : params.yaml loaded successfully]
[2024-07-01 13:18:15,630 : INFO : common : created directory at: artifacts]
[2024-07-01 13:18:15,631 : INFO : common : created directory at: artifacts/data_ingestion]
[2024-07-01 13:18:45,134 : INFO : common : yaml file : config/config.yaml loaded successfully]
[2024-07-01 13:18:45,135 : INFO : common : yaml file : params.yaml loaded successfully]
[2024-07-01 13:18:45,136 : INFO : common : created directory at: artifacts]
[2024-07-01 13:18:45,137 : INFO : common : created directory at: artifacts/data_ingestion]
[2024-07-01 13:19:05,664 : INFO : common : yaml file : config/config.yaml loaded successfully]
[2024-07-01 13:19:05,667 : INFO : common : yaml file : params.yaml loaded successfully]
[2024-07-01 13:19:05,667 : INFO : common : created directory at: artifacts]
[2024-07-01 13:19:05,668 : INFO : common : created directory at: artifacts/data_ingestion]
[2024-07-01 13:24:46,213 : INFO : common : yaml file : config/config.yaml loaded successfully]
[2024-07-01 13:24:46,215 : INFO : common : yaml file : params.yaml loaded successfully]
[2024-07-01 13:24:46,216 : INFO : common : created directory at: artifacts]
[2024-07-01 13:24:46,216 : INFO : common : created directory at: artifacts/data_ingestion]
[2024-07-01 13:26:28,956 : INFO : common : yaml file : config/config.yaml loaded successfully]
[2024-07-01 13:26:28,958 : INFO : common : yaml file : params.yaml loaded successfully]
[2024-07-01 13:26:28,959 : INFO : common : created directory at: artifacts]
[2024-07-01 13:26:28,960 : INFO : common : created directory at: artifacts/data_ingestion]
[2024-07-01 13:26:28,961 : INFO : 3906279658 : downloading data from https://drive.google.com/file/d/1LSQGDNqTZZhzL0NquYK9Kh5zY7kzZGIq/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-01 13:29:03,594 : INFO : 3906279658 : Downloaded data from https://drive.google.com/file/d/1LSQGDNqTZZhzL0NquYK9Kh5zY7kzZGIq/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-01 13:40:02,043 : INFO : common : yaml file : config/config.yaml loaded successfully]
[2024-07-01 13:40:02,044 : INFO : common : yaml file : params.yaml loaded successfully]
[2024-07-01 13:40:02,045 : INFO : common : created directory at: artifacts]
[2024-07-01 13:40:02,045 : INFO : common : created directory at: artifacts/data_ingestion]
[2024-07-01 13:40:02,045 : INFO : 673410123 : downloading data from https://drive.google.com/file/d/1LSQGDNqTZZhzL0NquYK9Kh5zY7kzZGIq/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-01 13:43:09,093 : INFO : 673410123 : Downloaded data from https://drive.google.com/file/d/1LSQGDNqTZZhzL0NquYK9Kh5zY7kzZGIq/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-01 14:57:40,332 : INFO : main : >>>>>>> stage :: Data Ingestion Stage started <<<<<<<]
[2024-07-01 14:57:40,333 : INFO : common : yaml file : config/config.yaml loaded successfully]
[2024-07-01 14:57:40,333 : INFO : common : yaml file : params.yaml loaded successfully]
[2024-07-01 14:57:40,333 : INFO : common : created directory at: artifacts]
[2024-07-01 14:57:40,333 : INFO : common : created directory at: artifacts/data_ingestion]
[2024-07-01 14:57:40,333 : INFO : data_ingestion : downloading data from https://drive.google.com/file/d/1LSQGDNqTZZhzL0NquYK9Kh5zY7kzZGIq/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-01 15:00:18,960 : INFO : data_ingestion : Downloaded data from https://drive.google.com/file/d/1LSQGDNqTZZhzL0NquYK9Kh5zY7kzZGIq/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-01 15:00:32,590 : INFO : main : >>>>>>> stage :: Data Ingestion Stage completed <<<<<<< 

 x========x]
